,track_name,danceability,COUNT(track_name)
79,Hold On,Dance around a bit,100
80,I Don't Fuck With You,Dance like nobody's watching,100
81,Needed Me,Dance around a bit,99
82,Radioactive,Dance around a bit,99
83,Work from Home,Dance like nobody's watching,99
84,Body Like A Back Road,Dance like nobody's watching,98
85,Gravity,No Dancing Here,98
86,Let Her Go,Dance around a bit,98
87,Never Be Like You,No Dancing Here,98
88,Say My Name,Dance like nobody's watching,98
89,Stressed Out,Dance like nobody's watching,98
90,Work,Dance around a bit,98
91,Chill Bill,Dance like nobody's watching,97
92,I'm Yours,Dance around a bit,97
93,Believer,Dance like nobody's watching,96
94,"Me, Myself & I",Dance like nobody's watching,96
95,Jungle,Dance around a bit,95
96,Passionfruit,Dance like nobody's watching,95
97,I Took A Pill In Ibiza - Seeb Remix,Dance around a bit,94
98,Intro,Dance around a bit,94
99,Paradise,Dance around a bit,94
100,Chicken Fried,Dance around a bit,93
101,Low Life,Dance like nobody's watching,93
102,Middle,Dance around a bit,93
103,Stay (with Alessia Cara),Dance around a bit,92
104,Sweet Home Alabama,Dance around a bit,92
105,This Is What You Came For,Dance around a bit,92
106,Tunnel Vision,No Dancing Here,92
107,With You,Dance around a bit,92
108,Yeah!,Dance like nobody's watching,92
109,Believe,No Dancing Here,91
110,Can't Feel My Face,Dance like nobody's watching,91
111,What Do You Mean?,Dance like nobody's watching,91
112,Bohemian Rhapsody - Remastered 2011,No Dancing Here,90
113,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Dance around a bit,90
114,Again,Dance like nobody's watching,89
115,Cheap Thrills,Dance around a bit,89
116,DNA.,Dance around a bit,89
117,Photograph,Dance around a bit,89
118,Something Just Like This,Dance around a bit,89
119,rockstar,Dance around a bit,89
120,All of Me,No Dancing Here,88
121,F**kin' Problems,Dance like nobody's watching,88
122,Monster,No Dancing Here,88
123,Party In The U.S.A.,No Dancing Here,88
124,Shut Up and Dance,Dance around a bit,88
125,Too Good,Dance like nobody's watching,88
126,Brown Eyed Girl,No Dancing Here,87
127,Ophelia,Dance around a bit,87
128,Perfect,Dance around a bit,87
129,Play It Again,Dance around a bit,87
130,Slow Motion,Dance like nobody's watching,87
131,Hey Ya! - Radio Mix / Club Mix,Dance like nobody's watching,86
132,It Wasn't Me,Dance like nobody's watching,86
133,Say You Won't Let Go,No Dancing Here,86
134,Slippery (feat. Gucci Mane),Dance like nobody's watching,86
135,Beautiful,Dance around a bit,85
136,Crazy In Love,Dance around a bit,85
137,Sail,Dance like nobody's watching,85
138,She Will Be Loved - Radio Mix,Dance around a bit,85
139,Sugar,Dance like nobody's watching,85
140,X (feat. Future),Dance like nobody's watching,85
141,Come On Eileen,No Dancing Here,84
142,Famous,No Dancing Here,84
143,Fast Car,Dance like nobody's watching,84
144,Silent Night,No Dancing Here,84
145,Sweet Child O' Mine,No Dancing Here,84
146,Trouble,Dance like nobody's watching,84
147,Young Dumb & Broke,Dance like nobody's watching,84
148,7 Years,Dance like nobody's watching,83
149,Ain't No Mountain High Enough,Dance around a bit,83
150,Controlla,Dance around a bit,83
151,Love Yourself,Dance around a bit,83
152,Wake Up,No Dancing Here,83
153,Wonderwall - Remastered,No Dancing Here,83
154,Angel,No Dancing Here,82
155,Earned It (Fifty Shades Of Grey),Dance around a bit,82
156,Pumped Up Kicks,Dance like nobody's watching,82
157,Cheerleader - Felix Jaehn Remix Radio Edit,Dance like nobody's watching,81
158,Demons,No Dancing Here,81
159,My House,Dance around a bit,81
160,Rather Be (feat. Jess Glynne),Dance like nobody's watching,81
161,Secrets,Dance like nobody's watching,81
162,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",Dance like nobody's watching,80
163,Take Me To Church,Dance around a bit,80
164,Thinkin Bout You,Dance like nobody's watching,80
165,Can't Hold Us - feat. Ray Dalton,Dance around a bit,79
166,Halo,No Dancing Here,79
167,Magnolia,Dance like nobody's watching,79
168,Swang,Dance around a bit,79
169,2 Phones,Dance like nobody's watching,78
170,Bank Account,Dance like nobody's watching,78
171,Electric Love,Dance around a bit,78
172,Exchange,Dance around a bit,78
173,Hips Don't Lie,Dance like nobody's watching,78
174,Wake Me Up - Radio Edit,Dance around a bit,78
175,Crazy,Dance around a bit,77
176,Die A Happy Man,Dance around a bit,77
177,In the Name of Love,No Dancing Here,77
178,LOVE. FEAT. ZACARI.,Dance like nobody's watching,77
179,No Diggity,Dance like nobody's watching,77
180,You Was Right,Dance like nobody's watching,77
181,"i hate u, i love u (feat. olivia o'brien)",No Dancing Here,77
182,Alone,No Dancing Here,76
183,Bang Bang,Dance around a bit,76
184,Chasing Cars,Dance around a bit,76
185,Cruise,No Dancing Here,76
186,Faded,Dance like nobody's watching,76
187,Hey There Delilah,Dance around a bit,76
188,House Party,Dance like nobody's watching,76
189,Kids,Dance around a bit,76
190,Landslide,No Dancing Here,76
191,Sorry Not Sorry,Dance like nobody's watching,76
192,What They Want,Dance like nobody's watching,76
193,Wild Thoughts,Dance around a bit,76
194,Bodak Yellow,Dance like nobody's watching,75
195,Chandelier,No Dancing Here,75
196,Drowning (feat. Kodak Black),Dance like nobody's watching,75
197,I Want You Back,Dance around a bit,75
198,I Won't Give Up,Dance around a bit,75
199,Starving,Dance around a bit,75
